sport,property,client,num_events,total_uniques
Soccer,Serie A (Italy),Wplay,189,637780.0
Soccer,Primera División (Spain),Vivarobet,406,625764.0
Soccer,Coppa Italia (Italy),Bet365 Inform,24,621855.0
Soccer,Eliteserien (Norway),Fonbet,241,617772.0
Soccer,Primera División (Chile),Betfair,350,617232.0
Soccer,Primera División (Spain),SNAI,403,614671.0
Soccer,European Internationals,Bet365 Inform,76,613253.0
Tennis,Wimbledon,Unibet,132,609988.0
Basketball,KBL (South Korea),Fonbet,297,604197.0
Soccer,Primera División (Chile),Betplay,352,600540.0
Soccer,Primera División (Chile),Fonbet,352,595289.0
Darts,PDC Darts World Championship,Bet365 Inform,36,594907.0
Soccer,First Division A (Belgium),Unibet,351,592759.0
Soccer,Süper Lig (Turkey),William Hill,458,584554.0
Soccer,Taça da Liga (Portugal),Bet365 Inform,20,582807.0
Soccer,Serie A (Brazil),Aspen,490,582051.0
Ice Hockey,SHL (Sweden),Tipsport,430,575909.0
Soccer,ECL Qualifiers,Fonbet,82,573651.0
Soccer,South Australia NPL (Australia),Bet365 Inform,139,567085.0
Soccer,Ligue 1 (France),188Bet,406,564350.0
Soccer,Serie A (Italy),Super Bet,189,558853.0
Soccer,DFB Pokal (Germany),Betclic,63,558305.0
Basketball,VTB League,Nesine,83,557522.0
Soccer,Ligue 2 (France),Fonbet,402,557166.0
Soccer,Primera División (Spain),Totobet,405,551685.0
Basketball,NBL,Bet365 Inform,191,551548.0
Soccer,Serie B (Brazil) ,Sporty Bet,428,551145.0
Soccer,Primera División (Peru),Bet365 Inform,217,549227.0
Soccer,Veikkausliiga (Finland),Bilyoner,160,548660.0
Soccer,Serie B (Italy),Sporty Bet,392,548509.0
Ice Hockey,SHL (Sweden),Winline,429,548088.0
Basketball,FIBA Olympic Qualifiers,Nesine,34,546572.0
Basketball,KBL (South Korea),Winline,296,544159.0
Soccer,DFB Pokal (Germany),Fonbet,65,538402.0
Soccer,Serie A (Italy),188Bet,169,537345.0
Soccer,First Division A (Belgium),Tipsport,351,536393.0
Tennis,Wimbledon,Olimp,132,535073.0
Soccer,Serie A (Brazil),188Bet,490,534286.0
Ice Hockey,Kontinental Hockey League,Winamax,828,534254.0
Soccer,Serie A (Italy),Aspen,169,530581.0
Soccer,Copa Libertadores,Caliente,160,530177.0
Soccer,Süper Lig (Turkey),Fortuna,453,528556.0
Soccer,First Division B (Belgium),Bet365 Inform,114,527111.0
Soccer,European Internationals,Fonbet,76,527056.0
Ice Hockey,SHL (Sweden),Fonbet,431,527026.0
Soccer,Primera División (Spain),Offsidebet,395,524879.0
Cricket,Cricket New Zealand Super Smash,Dafabet,60,519264.0
Ice Hockey,Kontinental Hockey League,Fortuna,827,517630.0
Soccer,South American Internationals,Betclic,50,512358.0
Soccer,Primera División (Chile),Bilyoner,338,511290.0
Soccer,Primeira Liga (Portugal),Wplay,340,506779.0
Soccer,Primeira Liga (Portugal),Fortuna,343,506640.0
Soccer,Süper Lig (Turkey),Super Bet,450,505012.0
Soccer,Eliteserien (Norway),Pocasport,241,504801.0
Soccer,J2 League (Japan),Fonbet,460,504753.0
Tennis,WTA 250,Fortuna,416,502894.0
Soccer,Primera División (Spain),Ladbrokes,407,501514.0
Soccer,Coppa Italia (Italy),Nesine,24,500608.0
Soccer,J1 League (Japan),Winamax,377,500526.0
Volleyball,CEV Volleyball European Championships Men,Nesine,32,497581.0
Soccer,Primera División (Argentina),Wplay,198,495280.0
Soccer,Ligue 1 (France),BetBoom,324,494050.0
Soccer,Serie B (Italy),Betclic,186,493116.0
Soccer,Primera División (Spain),FDJ,404,492134.0
Soccer,Serie A (Italy),BetBoom,189,489762.0
Soccer,Ligue 1 (France),Danske Spil,399,488332.0
Ice Hockey,Kontinental Hockey League,Betcity,835,488016.0
Soccer,Serie B (Brazil) ,Caliente,442,487129.0
Soccer,Ligue 1 (France),Aspen,406,485752.0
Soccer,Primera División (Spain),Novibet,407,484679.0
Soccer,Serie A (Italy),Misli,189,477118.0
Soccer,Ligue 2 (France),Winline,398,475388.0
Soccer,Primeira Liga (Portugal),Misli,346,475052.0
Soccer,Primera A (Colombia),Bet365 Inform,41,474307.0
Soccer,Süper Lig (Turkey),Danske Spil,457,472815.0
Soccer,Ligue 1 (France),Supersport,405,472429.0
Basketball,FIBA EuroBasket Women,Nesine,38,471219.0
Basketball,Basketball Super League (Turkey),Bet365 Inform,262,470396.0
Soccer,FNL (Russia),Bet365 Inform,250,470051.0
Soccer,Süper Lig (Turkey),Tipsport,459,468888.0
Soccer,Cup (Chile),Bet365 Inform,35,467404.0
Tennis,WTA 1000,Fortuna,255,466560.0
Soccer,Ligue 1 (France),Crystal Bet,406,466308.0
Cricket,Cricket West Indies - International T20,Bet365 Inform,17,464927.0
Basketball,NBL,Winline,188,460726.0
Soccer,Copa Libertadores,Bilyoner,158,460298.0
Soccer,Primera División (Chile),Sporty Bet,343,460256.0
Soccer,DFB Pokal (Germany),Winline,64,458673.0
Soccer,Segunda División (Spain),Wplay,482,446834.0
Soccer,Primera División (Argentina),Pocasport,200,445705.0
Soccer,Primera División (Chile),Winamax,349,444942.0
Soccer,First Division A (Belgium),Betfair,347,444517.0
Soccer,Ligue 1 (France),Sts,405,444360.0
Soccer,Primera División (Spain),Tuttur,398,443942.0
Soccer,Primera División (Spain),Mozzart,407,442678.0
Soccer,South American Internationals,Fonbet,50,442580.0
Soccer,Ligue 1 (France),Ligastavok,406,440019.0
Snooker,Championship League Snooker,Bet365 Inform,80,438940.0
Cricket,Cricket New Zealand International T20,Bet365 Inform,11,437522.0
Soccer,DFB Pokal (Germany),Bilyoner,64,434530.0
Soccer,Süper Lig (Turkey),Betplay,408,431743.0
Soccer,Ligue 1 (France),SNAI,406,430144.0
Soccer,UEFA Champions League Qualifiers,Winline,39,427272.0
Cricket,Caribbean Twenty20,Dafabet,31,426613.0
Ice Hockey,Kontinental Hockey League,Unibet,836,426531.0
Cricket,Cricket South Africa - Provincial T20,Dafabet,44,424780.0
Ice Hockey,Kontinental Hockey League,Hungarian Lottery,805,421570.0
Soccer,Serie A (Italy),Danske Spil,189,420911.0
Soccer,Primera División (Chile),Wplay,335,419002.0
Soccer,Serie A (Italy),Crystal Bet,185,418742.0
Soccer,Serie A (Brazil),Betfair,371,415902.0
Soccer,Süper Lig (Turkey),Crystal Bet,455,415557.0
Soccer,Primera División (Chile),Winline,353,414123.0
Soccer,LFPB (Bolivia),Pocasport,229,413313.0
Tennis,WTA 125K Series,Fonbet,188,412046.0
Soccer,Victoria NPL (Australia),Bet365 Inform,125,411622.0
Soccer,First Division A (Belgium),Betsson,350,409535.0
Soccer,Primera División (Chile),Unibet,354,407018.0
Soccer,Süper Lig (Turkey),Wplay,445,406840.0
Soccer,Primera División (Chile),Betsson,345,406321.0
Soccer,J2 League (Japan),Aspen,455,405955.0
Soccer,Primeira Liga (Portugal),Super Bet,347,403714.0
Soccer,Serie A (Brazil),Offsidebet,468,402654.0
Soccer,Segunda División (Spain),Olimp,490,400963.0
Soccer,Cup (Belgium),Nesine,11,400723.0
Soccer,First Division A (Belgium),Bwin,377,399718.0
Soccer,Segunda División (Spain),Danske Spil,490,397007.0
Basketball,NBL,Fonbet,190,396685.0
Soccer,UEFA Europa League Qualifiers,Bet365 Inform,12,396014.0
Soccer,Primera División (Chile),Bwin,347,395195.0
Soccer,Eliteserien (Norway),Aspen,241,394822.0
Cricket,Cricket West Indies - International Test,Bet365 Inform,24,393647.0
Soccer,League Cup (United Arab Emirates),Bet365 Inform,41,391828.0
Cricket,Cricket West Indies - Domestic 1 Day Cup,Bet365 Inform,18,391168.0
Soccer,Serie B (Italy),Unibet,410,390763.0
Tennis,WTA 250,BetBoom,390,388977.0
Soccer,Serie B (Brazil) ,Betsson,440,385908.0
Soccer,Liga MX (Mexico),188Bet,167,385732.0
Soccer,J2 League (Japan),Winline,459,385290.0
Soccer,J2 League (Japan),188Bet,461,383699.0
Soccer,South American Internationals,Pocasport,50,382316.0
Basketball,FIBA Olympic Qualifiers,Bet365 Inform,31,382061.0
Soccer,DFB Pokal (Germany),Pocasport,65,380955.0
Soccer,Segunda División (Spain),Bwin,489,380524.0
Soccer,LFPB (Bolivia),Fonbet,234,379573.0
Soccer,Liga MX (Mexico),Fonbet,165,377670.0
Soccer,1. Division (Norway),Bilyoner,228,376245.0
Tennis,Wimbledon,Fortuna,131,375581.0
Soccer,Serie A (Italy),Ligastavok,189,375040.0
Soccer,Cup (Paraguay),Bet365 Inform,45,374533.0
Soccer,Primera División (Peru),Fonbet,216,368409.0
Soccer,Copa Libertadores,Winline,159,367949.0
Basketball,FIBA Basketball World Cup Qualifiers - Europe,Nesine,25,367473.0
Soccer,Primera División (Chile),Caliente,349,364078.0
Tennis,WTA 125K Series,Winline,186,362542.0
Soccer,J1 League (Japan),Unibet,381,361632.0
Soccer,UEFA Champions League Qualifiers,Pocasport,41,361252.0
Soccer,First Division A (Belgium),Super Bet,334,361230.0
Soccer,Ligue 1 (France),Vivarobet,404,357576.0
Ice Hockey,Kontinental Hockey League,Nike,835,354897.0
Soccer,Serie A (Italy),Supersport,189,354610.0
Soccer,1. Lig (Turkey),Winline,339,352599.0
Soccer,Segunda División (Spain),Betsson,488,352238.0
Volleyball,CEV Volleyball European Championships Women,Nesine,22,352205.0
Soccer,Cup (Russia),Nesine,10,351041.0
Soccer,New South Wales NPL (Australia),Bet365 Inform,102,349678.0
Soccer,Copa Libertadores,Pocasport,160,349096.0
Soccer,Serie B (Italy),Betplay,372,348925.0
Soccer,Copa Sudamericana,Bilyoner,151,348337.0
Soccer,Primera División (Spain),Bet Portugal,292,347339.0
Soccer,J2 League (Japan),Bilyoner,461,347095.0
Basketball,NBL,Winamax,185,346883.0
Soccer,Primeira Liga (Portugal),BetBoom,264,346777.0
Ice Hockey,Kontinental Hockey League,Bilyoner,422,346735.0
Tennis,Wimbledon,Nesine,95,345768.0
Soccer,Queensland NPL (Australia),Winline,179,344893.0
Soccer,Primera División (Spain),Doradobet,396,344147.0
Soccer,1. Lig (Turkey),Pocasport,335,343276.0
Soccer,South American Internationals,Sporty Bet,50,341936.0
Soccer,Primeira Liga (Portugal),188Bet,348,341259.0
Soccer,Primera División (Spain),Eurobet,389,341205.0
Soccer,Veikkausliiga (Finland),Fonbet,164,340537.0
Basketball,Basketball Super League (Turkey),Fonbet,260,338614.0
Soccer,Serie A (Italy),Vivarobet,187,338365.0
Soccer,Primera División (Argentina),Bwin,194,336399.0
Soccer,Primera División (Chile),Betclic,136,332968.0
Soccer,DFB Pokal (Germany),Winamax,65,332547.0
Basketball,Basketball Champions League,Pocasport,200,332283.0
Soccer,Úrvalsdeild (Iceland),Fonbet,131,330589.0
Soccer,Primeira Liga (Portugal),Parimatch,186,330093.0
Soccer,1. Lig (Turkey),Fonbet,339,328413.0
Soccer,Primera División (Argentina),Betfair,201,327635.0
Soccer,Liga MX (Mexico),Winline,160,327218.0
Basketball,FIBA - Eurobasket Qualifiers,Bet365 Inform,35,326591.0
Soccer,Süper Lig (Turkey),Aspen,459,325468.0
Soccer,Primeira Liga (Portugal),Aspen,347,324937.0
Ice Hockey,Champions Hockey League (Ice Hockey),Fonbet,119,324385.0
Soccer,Eliteserien (Norway),Betclic,223,324223.0
Soccer,Northern Territory Premier League (Australia),Bet365 Inform,66,322542.0
Soccer,Arabian Gulf League (United Arab Emirates),Pocasport,182,321396.0
Soccer,First Division A (Belgium),Olimp,242,319976.0
Tennis,WTA 500,Fortuna,262,319294.0
Soccer,Segunda División (Spain),William Hill,490,319035.0
Soccer,Friendly,Fonbet,114,318421.0
Soccer,1. SNL (Slovenia),Nesine,130,318156.0
Soccer,J2 League (Japan),Pocasport,461,314016.0
Soccer,Liga MX (Mexico),Bilyoner,155,313827.0
Soccer,Primera División (Argentina),Caliente,200,312535.0
Soccer,Süper Lig (Turkey),Sts,457,312416.0
Soccer,Ligue 1 (France),Tuttur,405,312163.0
Soccer,South American Internationals,Winline,50,311431.0
Soccer,Primeira Liga (Portugal),Danske Spil,346,310779.0
Tennis,WTA 250,Super Bet,414,309031.0
Tennis,WTA 250,Pocasport,434,309027.0
Soccer,DFB Pokal (Germany),Sporty Bet,61,308653.0
Soccer,Copa Libertadores,Betclic,158,306875.0
Tennis,Wimbledon,Pocasport,130,306279.0
Soccer,J1 League (Japan),Betfair,381,304359.0
Soccer,Cup (Belgium),Bet365 Inform,15,303799.0
Soccer,UEFA Europa League Qualifiers,Nesine,9,302362.0
Soccer,Taça da Liga (Portugal),Nesine,13,301969.0
Soccer,Primeira Liga (Portugal),Sts,347,301239.0
Soccer,Ligue 2 (France),Sporty Bet,378,301202.0
Soccer,International Friendly,Bet365 Inform,23,301158.0
